Id,LAT,LON,PHONE,REVENUE,UTILIZATION
ef58ea08-d883-3957-8300-150554edc8fb,42.520838,-71.770876,9784662000,2118583.289999432,16963
69176529-fd1f-3b3f-abce-a0a3626769eb,42.375967,-71.118275,6174923500,3590904.310001152,28517
5e765f2b-e908-3888-9fc7-df2cb87beb58,41.931653,-71.294503,5082225200,2902817.140000356,23074
f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,42.700273,-71.161357,9786834000,2595623.1400000006,20593
e002090d-4e92-300e-b41e-7d1f21dee4c6,42.375967,-71.118275,6176652300,3922870.010001565,31316
ef6ab57c-ed94-3dbe-9861-812d515918b3,41.748854,-70.74053599999998,5087711800,1737872.599999641,13795
49318f80-bd8b-3fc7-a096-ac43088b0c12,42.327044,-72.67463000000002,4135822000,1474515.6299998113,11692
fbf6180e-b800-3ebe-b91d-93d0288c400e,42.614671,-72.597063,4137730211,600232.2799999733,4761
8b58cdd1-3d79-3126-8fe0-da2c54d6805c,42.33196,-71.020173,6175062000,450122.4199999687,3580
4bdaa4c2-c664-3089-aee2-7137abbad27f,42.059669,-72.03404,5087659771,1528297.1399997822,12211
ecc51621-0af3-3b35-ac3e-8b1e34022e92,41.725351,-71.094162,5086745600,2280136.479999633,18135
5d4b9df1-93ae-3bc9-b680-03249990e558,42.211656,-72.642448,4135342500,2062809.7999994424,16576
37b4d73f-652d-3033-a16e-d97b9e8b4cda,42.812141,-70.886646,9784631000,1413397.1899998502,11240
5844ad77-f653-3c2b-b7dd-e97576ab3b03,42.187794,-72.30846899999997,4132837651,1247529.8099999574,9940
08bcda9c-f8c8-3244-82d4-fc306a7a55d3,42.33196,-71.020173,6176388000,1130563.1500000325,8880
37c0de84-bcaf-3624-82bf-a89b2ac441b8,42.556659,-70.84496,9789223000,2177766.3699995,17235
4861d01f-019c-3dac-a153-8334e50919f9,42.50128,-70.897502,9787411215,2724524.940000148,21656
a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,42.33196,-71.020173,6177893000,578610.6199999682,4582
4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,42.452045,-73.26054,4134472000,2663198.5600000923,21226
f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,42.349617,-71.547214,5084815000,1593601.5399997344,12628
c44f361c-2efb-3050-8f97-0354a12e2920,42.082543,-71.024638,5089417000,2753379.230000179,21875
331f4c11-d298-308b-aaa1-d7825b29b57f,42.411887,-71.690005,9783683000,1373642.3599998753,10826
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,41.897892,-70.62403,5087462000,1963076.3899994916,15557
6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,42.269478,-71.807783,5087999000,1237404.3199999635,9808
b0e04623-b02c-3f8b-92ea-943fc4db60da,42.638893,-71.32210699999997,9789376000,4709892.720002459,37443
ebc3f5c4-6700-34af-8323-85621c313726,42.138838,-72.755911,4135682811,1183001.269999999,9420
fd328395-ab1d-35c6-a2d0-d05a9a79cf11,42.115454,-72.539978,4137489000,1638960.419999709,13079
d692e283-0833-3201-8e55-4f868a9c0736,42.455723,-71.05901899999998,7819793000,5507892.680003425,43948
d78e84ec-30aa-3bba-a33a-f29a3a454662,42.33196,-71.020173,6177262000,490136.31999996095,3890
8ad64ecf-c817-3753-bee7-006a8e662e06,41.903323,-71.094984,5088287000,1864241.819999565,14838
23834663-ed53-3da9-b330-d6e1ecb8428e,41.725351,-71.094162,5086793131,2075263.3499994264,16537
