Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,5086745600,2280136.479999633,18135
fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,4137489000,1638960.419999709,13079
8ad64ecf-c817-3753-bee7-006a8e662e06,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,5088287000,1864241.819999565,14838
24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,5084731190,3702499.1500012814,29375
ac8356a5-78f8-3a63-8a1e-59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,01432,42.562221,-71.58484399999998,9787849000,1868711.4399995569,14907
465de31f-3098-365c-af70-48a071e1f5aa,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,01701,42.307905,-71.436196,5083831000,2551218.75999994,20210
a7500efb-720b-3e44-990a-0c3edc5a3990,VA Boston Healthcare System  West Roxbury Campus,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,617-323-7700,1214542.9099999792,9501
ed146054-9dd5-3f0b-83df-d29d983039c3,Hyannis Outpatient Clinic,233 Stevens St,Hyannis,MA,02601,41.651745,-70.294235,508-771-3190,592766.7599999714,4671
0b78995f-8b45-34d3-969d-afcc456bb1c7,New Bedford Outpatient Clinic,175 Elm Street,New Bedford,MA,02740,41.635937,-70.92991,508-994-0217,563886.5299999634,4442
d311e70d-86e7-3c03-b115-53892bcf7ef1,Worcester Outpatient Clinic,605 Lincoln Street,Worcester,MA,01605,42.297756,-71.766815,508-856-0104 Or 508-856-0104,530408.3899999558,4153
